k,inertia,silhouette
2,4576.065627534441,0.9861964383143755
3,1444.3955058178444,0.6888531698918854
4,1022.3727384303688,0.5908704065653124
5,752.8618017987521,0.6076628751148044
6,574.8538801878279,0.49514670688159546
7,478.35081332331345,0.5078742605921363
8,391.459102374273,0.5085295724750679
9,307.67176615639494,0.507315711096638
10,264.91868822504955,0.49241628776270296
